Informazioni cronologiche,Publisher,Data,Edizione,Fonte,LinkFonte
11/12/2024 10.37.46,Orbit,2018,Jade City,goodreads,https://www.goodreads.com/book/show/43587154-jade-city?ref=rae_2
28/12/2024 13.01.24,Feltrinelli,1991,Il Profeta,goodreads,https://www.goodreads.com/book/show/8013567-il-profeta
